Sample:float,Data:float
"7.0","0.0"
"8.0","0.0"
"9.0","0.0"
"10.0","0.0"
"11.0","0.0"
"12.0","0.0"
"13.0","0.0"
"14.0","0.0"
"15.0","0.0"
"16.0","0.0"
"17.0","0.0"
"18.0","0.0"
"19.0","0.0"
"20.0","56.865234375"
"21.0","230.009765625"
"22.0","5.9765625"
"23.0","130.4296875"
"24.0","184.04296875"
"25.0","240.908203125"
"26.0","276.328125"
"27.0","275.888671875"
"28.0","266.484375"
"29.0","266.66015625"
"30.0","268.06640625"
"31.0","268.2421875"
"32.0","268.330078125"
"33.0","268.330078125"
"34.0","268.330078125"
"35.0","268.330078125"
"36.0","268.330078125"
"37.0","268.330078125"
"38.0","268.330078125"
"39.0","268.330078125"
"40.0","268.330078125"
"41.0","268.330078125"
"42.0","268.330078125"
"43.0","268.330078125"
"44.0","268.330078125"
"45.0","268.330078125"
"46.0","268.330078125"
"47.0","268.330078125"
"48.0","268.330078125"
"49.0","268.330078125"
"50.0","268.330078125"
"51.0","268.330078125"
"52.0","268.330078125"
"53.0","268.330078125"
"54.0","268.330078125"
"55.0","268.330078125"
"56.0","268.330078125"
"57.0","268.330078125"
"58.0","268.330078125"
"59.0","268.330078125"
"60.0","268.330078125"
"61.0","268.330078125"
"62.0","268.330078125"
"63.0","268.330078125"
"64.0","268.330078125"
"65.0","268.330078125"
"66.0","268.330078125"
"67.0","268.330078125"
"68.0","268.330078125"
"69.0","268.330078125"
"70.0","268.330078125"
"71.0","268.330078125"
"72.0","268.330078125"
"73.0","268.330078125"
"74.0","268.41796875"
"75.0","268.41796875"
"76.0","268.41796875"
"77.0","268.41796875"
"78.0","268.41796875"
"79.0","268.41796875"
"80.0","268.41796875"
"81.0","268.41796875"
"82.0","268.41796875"
"83.0","268.41796875"
"84.0","268.41796875"
"85.0","268.41796875"
"86.0","268.41796875"
"87.0","268.41796875"
"88.0","268.41796875"
"89.0","268.41796875"
"90.0","268.41796875"
"91.0","268.41796875"
"92.0","268.41796875"
"93.0","268.41796875"
"94.0","268.41796875"
"95.0","268.41796875"
"96.0","268.41796875"
"97.0","268.41796875"
"98.0","268.41796875"
"99.0","268.41796875"
"100.0","268.41796875"
"101.0","268.41796875"
"102.0","268.41796875"
"103.0","268.41796875"
"104.0","268.41796875"
"105.0","268.41796875"
"106.0","268.41796875"
"107.0","268.41796875"
"108.0","268.41796875"
"109.0","268.41796875"
"110.0","268.41796875"
"111.0","268.41796875"
"112.0","268.41796875"
"113.0","268.41796875"
"114.0","268.41796875"
"115.0","268.41796875"
"116.0","268.41796875"
"117.0","268.41796875"
"118.0","268.41796875"
"119.0","268.41796875"
"120.0","268.41796875"
"121.0","268.41796875"
"122.0","268.41796875"
"123.0","268.41796875"
"124.0","268.41796875"
"125.0","268.41796875"
"126.0","268.41796875"
"127.0","268.41796875"
"128.0","268.41796875"
"129.0","268.41796875"
"130.0","268.41796875"
"131.0","268.41796875"
"132.0","268.41796875"
"133.0","268.41796875"
"134.0","268.41796875"
"135.0","268.41796875"
"136.0","268.41796875"
"137.0","268.41796875"
"138.0","268.41796875"
"139.0","268.41796875"
"140.0","268.41796875"
"141.0","268.41796875"
"142.0","268.41796875"
"143.0","268.41796875"
"144.0","268.41796875"
"145.0","268.41796875"
"146.0","268.41796875"
"147.0","268.41796875"
"148.0","268.41796875"
"149.0","268.41796875"
"150.0","268.41796875"
"151.0","268.41796875"
"152.0","268.41796875"
"153.0","268.41796875"
"154.0","268.41796875"
"155.0","268.41796875"
"156.0","268.41796875"
"157.0","268.41796875"
"158.0","268.41796875"
"159.0","268.41796875"
"160.0","268.41796875"
"161.0","268.41796875"
"162.0","268.41796875"
"163.0","268.41796875"
"164.0","268.41796875"
"165.0","268.41796875"
"166.0","268.41796875"
"167.0","268.41796875"
"168.0","268.41796875"
"169.0","268.41796875"
"170.0","268.41796875"
"171.0","268.41796875"
"172.0","268.41796875"
"173.0","268.41796875"
"174.0","268.41796875"
"175.0","268.41796875"
"176.0","268.41796875"
"177.0","268.41796875"
"178.0","268.41796875"
"179.0","268.41796875"
"180.0","268.41796875"
"181.0","268.41796875"
"182.0","268.41796875"
"183.0","268.41796875"
"184.0","268.41796875"
"185.0","268.41796875"
"186.0","268.41796875"
"187.0","268.41796875"
"188.0","268.41796875"
"189.0","268.41796875"
"190.0","268.41796875"
"191.0","268.41796875"
"192.0","268.41796875"
"193.0","268.41796875"
"194.0","268.41796875"
"195.0","268.41796875"
"196.0","268.41796875"
"197.0","268.41796875"
"198.0","268.41796875"
"199.0","268.41796875"
"200.0","268.41796875"
"201.0","268.41796875"
"202.0","268.41796875"
"203.0","268.41796875"
"204.0","268.41796875"
"205.0","268.41796875"
"206.0","268.41796875"
